Player,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,NBA PER,Classification,Classification2
Tyler Ulis,SEC,35,35,36.8,5.5,12.6,0.434,3.9,8.1,0.486,1.6,4.6,0.344,4.8,5.6,0.856,0.5,2.5,3,7,1.5,0.1,2,1.8,17.3,8.84,11.3,4,4
Malcolm Brogdon,ACC,37,37,34.1,6.2,13.6,0.457,4.2,8.4,0.498,2,5.2,0.391,3.8,4.2,0.897,0.5,3.5,4.1,3.1,0.9,0.2,1.4,2.1,18.2,11.12,16.2,2,3
Isaiah Whitehead,Big East,34,33,32.3,5.7,15.1,0.379,3.3,8.5,0.39,2.4,6.5,0.365,4.4,5.8,0.76,0.5,3.1,3.6,5.1,1.2,1.4,3.5,2.3,18.2,8.28,7.9,4,5
Demetrius Jackson,ACC,35,35,36,5.5,12.2,0.451,4,7.6,0.525,1.5,4.7,0.331,3.2,4,0.813,0.9,2.6,3.5,4.7,1.2,0.3,2.2,1.9,15.8,9.57,13,3,4
Kay Felder,Horizon,35,35,36.7,7.7,17.5,0.44,5.5,11.4,0.485,2.2,6.1,0.355,6.8,8.1,0.848,0.7,3.5,4.3,9.3,2,0.2,3.4,3,24.4,-1.61,9.3,4,5
Marcus Paige,ACC,34,34,31.6,4.1,10.4,0.398,2,4.3,0.459,2.2,6.1,0.356,2.1,2.7,0.774,0.4,2.1,2.5,3.8,1.1,0.4,1.2,1.5,12.6,10.69,9.1,4,5
Tyrone Wallace,Pac-12,28,25,32.2,5.4,12.3,0.44,4.5,9.3,0.486,0.9,3,0.298,3.6,5.5,0.649,1,4.3,5.3,4.4,1,0.4,2.6,2.3,15.3,7.87,8.3,4,5
Markelle Fultz,Pac-12,25,25,35.7,8.4,17.6,0.476,6.3,12.5,0.502,2.1,5,0.413,4.4,6.7,0.649,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2,6.82,13.5,3,4
Lonzo Ball,Pac-12,36,36,35.1,5.3,9.5,0.551,3,4.1,0.732,2.2,5.4,0.412,1.8,2.7,0.673,0.9,5.1,6,7.6,1.8,0.8,2.5,1.8,14.6,6.39,12.7,4,4
De'Aaron Fox,SEC,36,34,29.6,5.9,12.4,0.479,5.5,10.5,0.521,0.5,1.9,0.246,4.3,5.9,0.736,0.6,3.4,4,4.6,1.5,0.2,2.4,2.5,16.7,10.49,16.3,2,3
